filter,benchmark,noise_level,information_retention,jaccard,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_betweenness_original,average_betweenness_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
k_core_decomposition,bench_noise_filtering,0.2,1.8251199717959078e-05,0.6360801781737194,3.991111111111111,5.243016759776537,0.03385963595380077,0.02273375357209191,3.997834631071561,3.667265695198656,7.0,6.0,0.0033383459143335866,0.0037356662397740274,0.2535228158401166,0.27530925568312087,0.2671365008755674,0.29080146110855754,-0.08152934410221088,-0.03499261648242799,0.004439500679767643,0.007332890573114037,0.013324559960519823,0.01687988628287136,28.588809876543205,24.91580318966324,79,66,1428,402305,449,368,0.7607884922749067,0.7951002227171492,0.7775660223250749,0.04493915742949978,barabasi_albert_graph900,False
k_core_decomposition,bench_noise_filtering,0.3,2.764537210138944e-07,0.3766410140334993,3.991111111111111,5.845070422535211,0.03385963595380077,0.03039633374700609,3.997834631071561,3.3590499861916596,7.0,6.0,0.0033383459143335866,0.005563797137244481,0.2535228158401166,0.30007770819672835,0.2671365008755674,0.32001988401018655,-0.08152934410221088,-0.025945310828321032,0.004439500679767643,0.013753106876553439,0.013324559960519823,0.02438069127582493,28.588809876543205,19.628578985651004,79,52,832,402341,413,964,0.668273092369478,0.46325167037861914,0.5471884248602433,0.058341940145814085,barabasi_albert_graph900,False
k_core_decomposition,bench_noise_filtering,0.4,3.0821330560018923e-07,0.5218446601941747,3.991111111111111,6.832674571805007,0.03385963595380077,0.01847091192376382,3.997834631071561,3.424423192577374,7.0,6.0,0.0033383459143335866,0.003202672645412648,0.2535228158401166,0.29386439283856414,0.2671365008755674,0.3101212306620621,-0.08152934410221088,-0.00926016218845294,0.004439500679767643,0.009014082548555418,0.013324559960519823,0.016343825665859565,28.588809876543205,25.44367545536131,79,69,1505,401666,1088,291,0.5804087929039722,0.8379732739420935,0.6858054226475279,0.058384293646960864,barabasi_albert_graph900,False
k_core_decomposition,bench_noise_filtering,0.5,4.389008195775424e-08,0.43718293046851686,3.991111111111111,8.118279569892474,0.03385963595380077,0.01624914663749197,3.997834631071561,3.24431612613786,7.0,5.0,0.0033383459143335866,0.0030246848061157147,0.2535228158401166,0.30970935938358307,0.2671365008755674,0.32720746079359103,-0.08152934410221088,-0.007026571028429373,0.004439500679767643,0.010926352045615711,0.013324559960519823,0.01584456323421145,28.588809876543205,26.192999190657883,79,69,1465,401199,1555,331,0.48509933774834435,0.8157015590200446,0.6083887043189369,0.0682786210334077,barabasi_albert_graph900,False
k_core_decomposition,bench_structural_noise_filtering,0.1,1.701729060301856e-05,0.5283208020050125,3.991111111111111,4.737240075614367,0.03385963595380077,0.02909802250619973,3.997834631071561,3.700342269576674,7.0,7.0,0.0033383459143335866,0.0051239891263314494,0.2535228158401166,0.27340737030721657,0.2671365008755674,0.29070663766987953,-0.08152934410221088,-0.039404898806088,0.004439500679767643,0.008972045597754483,0.013324559960519823,0.02118062365169641,28.588809876543205,20.851562137070694,79,57,1054,402555,199,742,0.8411811652035116,0.5868596881959911,0.6913742210560839,0.04822905017139619,barabasi_albert_graph900,False
k_core_decomposition,bench_structural_noise_filtering,0.2,1.8251199717959078e-05,0.6360801781737194,3.991111111111111,5.243016759776537,0.03385963595380077,0.02273375357209191,3.997834631071561,3.667265695198656,7.0,6.0,0.0033383459143335866,0.0037356662397740274,0.2535228158401166,0.27530925568312087,0.2671365008755674,0.29080146110855754,-0.08152934410221088,-0.03499261648242799,0.004439500679767643,0.007332890573114037,0.013324559960519823,0.01687988628287136,28.588809876543205,24.91580318966324,79,66,1428,402305,449,368,0.7607884922749067,0.7951002227171492,0.7775660223250749,0.04493915742949978,barabasi_albert_graph900,False
k_core_decomposition,bench_structural_noise_filtering,0.3,2.764537210138944e-07,0.3766410140334993,3.991111111111111,5.845070422535211,0.03385963595380077,0.03039633374700609,3.997834631071561,3.3590499861916596,7.0,6.0,0.0033383459143335866,0.005563797137244481,0.2535228158401166,0.30007770819672835,0.2671365008755674,0.32001988401018655,-0.08152934410221088,-0.025945310828321032,0.004439500679767643,0.013753106876553439,0.013324559960519823,0.02438069127582493,28.588809876543205,19.628578985651004,79,52,832,402341,413,964,0.668273092369478,0.46325167037861914,0.5471884248602433,0.058341940145814085,barabasi_albert_graph900,False
k_core_decomposition,bench_structural_noise_filtering,0.4,3.0821330560018923e-07,0.5218446601941747,3.991111111111111,6.832674571805007,0.03385963595380077,0.01847091192376382,3.997834631071561,3.424423192577374,7.0,6.0,0.0033383459143335866,0.003202672645412648,0.2535228158401166,0.29386439283856414,0.2671365008755674,0.3101212306620621,-0.08152934410221088,-0.00926016218845294,0.004439500679767643,0.009014082548555418,0.013324559960519823,0.016343825665859565,28.588809876543205,25.44367545536131,79,69,1505,401666,1088,291,0.5804087929039722,0.8379732739420935,0.6858054226475279,0.058384293646960864,barabasi_albert_graph900,False
k_core_decomposition,bench_structural_noise_filtering,0.5,4.389008195775424e-08,0.43718293046851686,3.991111111111111,8.118279569892474,0.03385963595380077,0.01624914663749197,3.997834631071561,3.24431612613786,7.0,5.0,0.0033383459143335866,0.0030246848061157147,0.2535228158401166,0.30970935938358307,0.2671365008755674,0.32720746079359103,-0.08152934410221088,-0.007026571028429373,0.004439500679767643,0.010926352045615711,0.013324559960519823,0.01584456323421145,28.588809876543205,26.192999190657883,79,69,1465,401199,1555,331,0.48509933774834435,0.8157015590200446,0.6083887043189369,0.0682786210334077,barabasi_albert_graph900,False
local_degree_sparsifier,bench_net2net_filtering,,0.2386750919094002,0.5,3.973333333333333,1.9866666666666666,0.090612622083131,0.05933571559283704,3.4318171683389074,,6.0,,0.008160460296439288,0.002040881985439908,0.2960204171124749,0.08447457612100555,0.3170951319211564,0.09194919573178985,-0.15107557357848495,-0.17531045378231172,0.013288740245261985,0.006644370122630992,0.028061666377966397,0.04514187446259673,26.672622222222223,13.54648888888889,55,37,298,44254,0,298,1.0,0.5,0.6666666666666666,0.08151300584956361,barabasi_albert_graph300,False
local_degree_sparsifier,bench_noise_filtering,0.1,0.2441314515875203,0.48083067092651754,3.973333333333333,2.2066666666666666,0.090612622083131,0.06827276213225211,3.4318171683389074,,6.0,,0.008160460296439288,0.0024857653775074264,0.2960204171124749,0.11062772619540377,0.3170951319211564,0.11905536975103219,-0.15107557357848495,-0.2093364227874196,0.013288740245261985,0.00738015607580825,0.028061666377966397,0.04246214614878209,26.672622222222223,17.590622222222223,55,42,301,44224,30,295,0.9093655589123867,0.5050335570469798,0.6494066882416397,0.08512565307587486,barabasi_albert_graph300,False
local_degree_sparsifier,bench_noise_filtering,0.2,0.2769790794960882,0.46003016591251883,3.973333333333333,2.48,0.090612622083131,0.059184308518711065,3.4318171683389074,,6.0,,0.008160460296439288,0.0024262081659222018,0.2960204171124749,0.11037796378813544,0.3170951319211564,0.11933333333334355,-0.15107557357848495,-0.1696574870552581,0.013288740245261985,0.008294314381270903,0.028061666377966397,0.04150015370427298,26.672622222222223,18.016266666666667,55,44,305,44187,67,291,0.8198924731182796,0.511744966442953,0.6301652892561983,0.08934295028020656,barabasi_albert_graph300,False
local_degree_sparsifier,bench_noise_filtering,0.3,0.14645308907872923,0.41412742382271467,3.973333333333333,2.8333333333333335,0.090612622083131,0.03321375840163397,3.4318171683389074,,6.0,,0.008160460296439288,0.0020046688065363293,0.2960204171124749,0.10051450520001141,0.3170951319211564,0.10925678186547741,-0.15107557357848495,-0.09413765552944241,0.013288740245261985,0.00947603121516165,0.028061666377966397,0.041886441203847345,26.672622222222223,16.29222222222222,55,42,299,44128,126,297,0.7035294117647058,0.5016778523489933,0.5857002938295789,0.09711559157565947,barabasi_albert_graph300,False
local_degree_sparsifier,bench_noise_filtering,0.4,0.10726634719727304,0.3946360153256705,3.973333333333333,3.3066666666666666,0.090612622083131,0.049106900002236595,3.4318171683389074,,6.0,,0.008160460296439288,0.0022170845398157917,0.2960204171124749,0.12314714165497928,0.3170951319211564,0.13313154960983228,-0.15107557357848495,-0.15283729431730209,0.013288740245261985,0.011059085841694537,0.028061666377966397,0.04187303016659163,26.672622222222223,21.985955555555552,55,46,309,44067,187,287,0.6229838709677419,0.5184563758389261,0.5659340659340659,0.10280351099505161,barabasi_albert_graph300,False
local_degree_sparsifier,bench_noise_filtering,0.5,0.10500736293822736,0.35147392290249435,3.973333333333333,3.973333333333333,0.090612622083131,0.04827207948365135,3.4318171683389074,,6.0,,0.008160460296439288,0.001972495940981497,0.2960204171124749,0.12302368752855773,0.3170951319211564,0.13324489037534895,-0.15107557357848495,-0.06982185833718312,0.013288740245261985,0.013288740245261985,0.028061666377966397,0.055942738745526466,26.672622222222223,23.57928888888889,55,41,310,43968,286,286,0.5201342281879194,0.5201342281879194,0.5201342281879194,0.11293194051465598,barabasi_albert_graph300,False
local_degree_sparsifier,bench_structural_noise_filtering,0.1,0.3002759754598606,0.5484949832775919,1.9866666666666666,1.1,0.05933571559283704,0.04819758397296597,,,,,0.002040881985439908,0.0006559523542307319,0.08447457612100555,0.03554213052816642,0.09194919573178985,0.03869899665552029,-0.17531045378231172,-0.31341447547401907,0.006644370122630992,0.0036789297658862876,0.04514187446259673,0.05194805194805195,13.54648888888889,9.129999999999999,37,32,164,44551,1,134,0.9939393939393939,0.5503355704697986,0.7084233261339092,0.05486377169695913,barabasi_albert_graph300,False
local_degree_sparsifier,bench_structural_noise_filtering,0.2,0.5155657688459248,0.5714285714285714,1.9866666666666666,1.24,0.05933571559283704,0.04849938323725733,,,,,0.002040881985439908,0.0008268426447591901,0.08447457612100555,0.04371774499698776,0.09194919573178985,0.04741917502787342,-0.17531045378231172,-0.2964830845754371,0.006644370122630992,0.004147157190635451,0.04514187446259673,0.04719949653870359,13.54648888888889,10.295733333333336,37,34,176,44542,10,122,0.946236559139785,0.5906040268456376,0.7272727272727273,0.05425074942071335,barabasi_albert_graph300,False
local_degree_sparsifier,bench_structural_noise_filtering,0.3,0.562832394632029,0.5789473684210527,1.9866666666666666,1.4133333333333333,0.05933571559283704,0.04942682059348726,,,,,0.002040881985439908,0.000923211600188548,0.08447457612100555,0.0501073546010599,0.09194919573178985,0.054287253808992755,-0.17531045378231172,-0.27550809952694055,0.006644370122630992,0.004726867335562988,0.04514187446259673,0.04383116883116883,13.54648888888889,11.735822222222223,37,37,187,44527,25,111,0.8820754716981132,0.62751677852349,0.7333333333333333,0.05506659594392709,barabasi_albert_graph300,False
local_degree_sparsifier,bench_structural_noise_filtering,0.4,0.5969419625631716,0.6106194690265486,1.9866666666666666,1.6533333333333333,0.05933571559283704,0.04463047798135517,,,,,0.002040881985439908,0.0011686980464336752,0.08447457612100555,0.05988957363297402,0.09194919573178985,0.0649814195466317,-0.17531045378231172,-0.22792322347750016,0.006644370122630992,0.005529542920847268,0.04514187446259673,0.04481927710843373,13.54648888888889,12.753155555555555,37,38,207,44511,41,91,0.8346774193548387,0.6946308724832215,0.7582417582417582,0.05425074942071335,barabasi_albert_graph300,False
local_degree_sparsifier,bench_structural_noise_filtering,0.5,0.6160160835574789,0.5684210526315789,1.9866666666666666,1.9866666666666666,0.05933571559283704,0.042553477832425204,,,,,0.002040881985439908,0.0014087225875962384,0.08447457612100555,0.06833321461357082,0.09194919573178985,0.07458900037160025,-0.17531045378231172,-0.1743949974343365,0.006644370122630992,0.006644370122630992,0.04514187446259673,0.04699738903394256,13.54648888888889,13.359822222222222,37,37,216,44470,82,82,0.7248322147651006,0.7248322147651006,0.7248322147651006,0.060470101883911304,barabasi_albert_graph300,False
random_edge_sparsifier,bench_net2net_filtering,,0.21823761309786732,0.5,3.973333333333333,1.9866666666666666,0.090612622083131,0.032987551253612954,3.4318171683389074,,6.0,,0.008160460296439288,0.008556186542763723,0.2960204171124749,0.12981738772101276,0.3170951319211564,0.14566571580285262,-0.15107557357848495,-0.1049010322640645,0.013288740245261985,0.006644370122630992,0.028061666377966397,0.026804123711340205,26.672622222222223,7.739822222222221,55,29,298,44254,0,298,1.0,0.5,0.6666666666666666,0.08151300584956361,barabasi_albert_graph300,False
random_edge_sparsifier,bench_noise_filtering,0.1,0.27130330696061083,0.4737678855325914,3.973333333333333,2.2066666666666666,0.090612622083131,0.025432858967341727,3.4318171683389074,,6.0,,0.008160460296439288,0.00974546025902898,0.2960204171124749,0.14118821627671085,0.3170951319211564,0.15865043243640226,-0.15107557357848495,-0.07783530510003249,0.013288740245261985,0.00738015607580825,0.028061666377966397,0.021141649048625793,26.672622222222223,6.797288888888889,55,29,298,44221,33,298,0.9003021148036254,0.5,0.6429341963322546,0.085907834775463,barabasi_albert_graph300,False
random_edge_sparsifier,bench_noise_filtering,0.2,0.2903833202428338,0.4527736131934033,3.973333333333333,2.486666666666667,0.090612622083131,0.015031604198270865,3.4318171683389074,,6.0,,0.008160460296439288,0.010609788033190426,0.2960204171124749,0.17274244533722963,0.3170951319211564,0.19181966503711265,-0.15107557357848495,-0.05923202717345805,0.013288740245261985,0.008316610925306578,0.028061666377966397,0.020442930153321975,26.672622222222223,8.043155555555556,55,28,302,44183,71,294,0.8096514745308311,0.5067114093959731,0.6233230134158927,0.09021218638865362,barabasi_albert_graph300,False
random_edge_sparsifier,bench_noise_filtering,0.3,0.33845000507316564,0.4096551724137931,3.973333333333333,2.84,0.090612622083131,0.0302257187896202,3.4318171683389074,,6.0,,0.008160460296439288,0.010310580383530488,0.2960204171124749,0.19059112782638285,0.3170951319211564,0.21086519519136634,-0.15107557357848495,-0.06482948711106591,0.013288740245261985,0.009498327759197324,0.028061666377966397,0.023921200750469045,26.672622222222223,8.987733333333335,55,31,297,44125,129,299,0.6971830985915493,0.4983221476510067,0.5812133072407045,0.0976878746174195,barabasi_albert_graph300,False
random_edge_sparsifier,bench_noise_filtering,0.4,0.32658510277174463,0.38881829733163914,3.973333333333333,3.3133333333333335,0.090612622083131,0.01078613532061808,3.4318171683389074,,6.0,,0.008160460296439288,0.009893530261198775,0.2960204171124749,0.22424184475585904,0.3170951319211564,0.2442827768046463,-0.15107557357848495,-0.0034453653317704177,0.013288740245261985,0.011081382385730212,0.028061666377966397,0.01936264622831787,26.672622222222223,8.861822222222221,55,29,306,44063,191,290,0.6156941649899397,0.5134228187919463,0.5599268069533394,0.1035598265794194,barabasi_albert_graph300,False
random_edge_sparsifier,bench_noise_filtering,0.5,0.3182839829228594,0.31422271223814774,3.973333333333333,3.973333333333333,0.090612622083131,0.01357566137566138,3.4318171683389074,,6.0,,0.008160460296439288,0.009412882613933094,0.2960204171124749,0.24610177367567626,0.3170951319211564,0.26810564314920987,-0.15107557357848495,-0.020553586857025748,0.013288740245261985,0.013288740245261985,0.028061666377966397,0.009551098376313277,26.672622222222223,9.125955555555556,55,27,285,43943,311,311,0.47818791946308725,0.47818791946308725,0.47818791946308725,0.11776438506691878,barabasi_albert_graph300,False
random_edge_sparsifier,bench_structural_noise_filtering,0.1,0.5362061230458319,0.4637223974763407,1.9866666666666666,1.1066666666666667,0.032987551253612954,0.0,,,,,0.008556186542763723,0.0016368506505652699,0.12981738772101276,0.02288576670772575,0.14566571580285262,0.02731024370154805,-0.1049010322640645,-0.06061190797795942,0.006644370122630992,0.003701226309921962,0.026804123711340205,0.0,7.739822222222221,2.1886222222222225,29,13,147,44533,19,151,0.8855421686746988,0.49328859060402686,0.6336206896551724,0.06156632591006759,barabasi_albert_graph300,False
