filter,benchmark,noise_level,information_retention,jaccard,degree_assortativity_original,degree_assortativity_filtered,average_clustering_original,average_clustering_filtered,average_shortest_path_length_original,average_shortest_path_length_filtered,density_original,density_filtered,average_degree_connectivity_original,average_degree_connectivity_filtered,transitivity_original,transitivity_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
local_degree_sparsifier,bench_structural_noise_filtering,0.2,0.025853759399486587,0.5286004973999547,-0.026383895735968225,-0.030404383593778683,0.07526914261119944,0.06419438268336465,,,0.049977977977977976,0.031235235235235234,73.39252657119474,62.952970168155716,0.10954176168563422,0.12784930732114924,14028,472962,1574,10936,0.8991154980130752,0.5619291780163436,0.6916136666173643,0.1582562638414197,random_graph1000,True
local_degree_sparsifier,bench_structural_noise_filtering,0.3,0.3014698940251124,0.536128360673391,-0.026383895735968225,-0.011496536365312823,0.07526914261119944,0.06992302734099297,,,0.049977977977977976,0.0356976976976977,73.39252657119474,69.17384888753779,0.10954176168563422,0.13717924867906386,14936,471641,2895,10028,0.8376423083394089,0.5983015542381028,0.6980254702652179,0.16084735581249657,random_graph1000,True
local_degree_sparsifier,bench_structural_noise_filtering,0.4,0.1596052403669618,0.542846548004315,-0.026383895735968225,-0.023585137363098477,0.07526914261119944,0.0794471289115111,,,0.049977977977977976,0.04164764764764765,73.39252657119474,77.55091562197057,0.10954176168563422,0.14690163224035824,16103,469836,4700,8861,0.77407104744508,0.6450488703733376,0.7036948019315227,0.16476998861791897,random_graph1000,True
local_degree_sparsifier,bench_structural_noise_filtering,0.5,0.0013742540836249382,0.5379023563837979,-0.026383895735968225,-0.016583096227179718,0.07526914261119944,0.08984371062578785,,,0.049977977977977976,0.049977977977977976,73.39252657119474,88.87189032637025,0.10954176168563422,0.16154901420348788,17463,467035,7501,7501,0.6995273193398494,0.6995273193398494,0.6995273193398494,0.17330330070149857,random_graph1000,True
random_edge_sparsifier,bench_noise_filtering,0.1,5.312330867214611e-09,0.4728348472493505,0.00018571842163022962,-0.007928836443198122,0.10020900687459285,0.05621610467812082,1.900082082082082,1.988016016016016,0.09995795795795796,0.05553153153153153,100.76982053934101,56.36760580959389,0.10023308245168773,0.05615449377025521,24934,446767,2804,24995,0.8989112408969645,0.4993891325682469,0.6420744975343453,0.23591026610483415,random_graph1000,True
random_edge_sparsifier,bench_noise_filtering,0.2,8.367658715205497e-09,0.4426821245043475,0.00018571842163022962,0.0011878826585823552,0.10020900687459285,0.0626060454733793,1.900082082082082,1.9559159159159158,0.09995795795795796,0.062474474474474476,100.76982053934101,63.291993036332194,0.10023308245168773,0.06265407076040479,24896,443261,6310,25033,0.7977952957764533,0.4986280518336037,0.6136932273371541,0.25049700347259396,random_graph1000,True
random_edge_sparsifier,bench_noise_filtering,0.3,2.3468937795568042e-06,0.41100542358352155,0.00018571842163022962,-0.0014783993370153037,0.10020900687459285,0.07143984174541568,1.900082082082082,1.9343403403403403,0.09995795795795796,0.0713993993993994,100.76982053934101,72.34894127921497,0.10023308245168773,0.07144439534564354,24932,438839,10732,24997,0.6990803050695379,0.4993490756874762,0.5825710046382298,0.26745005053192555,random_graph1000,True
random_edge_sparsifier,bench_noise_filtering,0.4,0.0061583945753136676,0.3759375892494777,0.00018571842163022962,-0.004015800111142948,0.10020900687459285,0.08295240271120494,1.900082082082082,1.9175675675675676,0.09995795795795796,0.0832992992992993,100.76982053934101,84.12564841179015,0.10023308245168773,0.08295111554200714,25010,432973,16598,24919,0.6010863295520092,0.5009112940375333,0.5464456995531861,0.28830039388997913,random_graph1000,True
random_edge_sparsifier,bench_noise_filtering,0.5,0.8112001599861186,0.33650088334493283,0.00018571842163022962,-0.004270554438181761,0.10020900687459285,0.099543697033082,1.900082082082082,1.900084084084084,0.09995795795795796,0.09995795795795796,100.76982053934101,100.70976018542562,0.10023308245168773,0.0995251123132081,25142,424784,24787,24787,0.5035550481683991,0.5035550481683991,0.5035550481683991,0.3150353111117026,random_graph1000,True
random_edge_sparsifier,bench_net2net_filtering,,3.825160227866979e-09,0.5000100142201926,0.00018571842163022962,-0.0005305036646696913,0.10020900687459285,0.049746790938226364,1.900082082082082,2.028216216216216,0.09995795795795796,0.04997997997997998,100.76982053934101,50.983996652197106,0.10023308245168773,0.04975209066857232,24965,449571,0,24964,1.0,0.5000100142201926,0.6666755681362994,0.223557549588418,random_graph1000,True
random_edge_sparsifier,bench_structural_noise_filtering,0.1,9.741408565360446e-08,0.4728817416369567,-0.0005305036646696913,-0.003902990687051231,0.049746790938226364,0.027084432315904707,2.028216216216216,2.4220760760760762,0.04997997997997998,0.027765765765765765,50.983996652197106,28.864990384167402,0.04975209066857232,0.027104081234133957,12468,473134,1401,12497,0.8989833441488211,0.49941918686160625,0.6421177318844312,0.16680474760576758,random_graph1000,True
random_edge_sparsifier,bench_structural_noise_filtering,0.2,5.478893584615474e-05,0.44118796404845645,-0.0005305036646696913,-0.006709761444404769,0.049746790938226364,0.03142264387454979,2.028216216216216,2.3334114114114115,0.04997997997997998,0.031237237237237238,50.983996652197106,32.17477784693741,0.04975209066857232,0.03139232604651354,12419,471351,3184,12546,0.7959366788438121,0.49745643901462044,0.6122559652928417,0.17745842186690236,random_graph1000,True
random_edge_sparsifier,bench_structural_noise_filtering,0.3,0.003487345162758689,0.410533601397449,-0.0005305036646696913,0.010360014076422744,0.049746790938226364,0.03582912245744765,2.028216216216216,2.2337037037037035,0.04997997997997998,0.0356996996996997,50.983996652197106,36.52664260103862,0.04975209066857232,0.03595665887721435,12456,469159,5376,12509,0.6985195154777928,0.4989385139194873,0.5820968759492487,0.1892242209808401,random_graph1000,True
random_edge_sparsifier,bench_structural_noise_filtering,0.4,0.22100062014698155,0.37448572029190064,-0.0005305036646696913,-0.00880830512254986,0.049746790938226364,0.04119567851283754,2.028216216216216,2.126976976976977,0.04997997997997998,0.04164964964964965,50.983996652197106,42.48017579890361,0.04975209066857232,0.04121254745550577,12470,466201,8334,12495,0.5994039607767737,0.49949929901862605,0.5449103104721537,0.20420504327684882,random_graph1000,True
random_edge_sparsifier,bench_structural_noise_filtering,0.5,0.9057451811078278,0.3377093101138647,-0.0005305036646696913,0.0003395871078393106,0.049746790938226364,0.05006562785249102,2.028216216216216,2.0285365365365364,0.04997997997997998,0.04997997997997998,50.983996652197106,50.924819890824025,0.04975209066857232,0.050039183257450826,12605,462175,12360,12360,0.5049068696174644,0.5049068696174644,0.5049068696174644,0.22246233274307245,random_graph1000,True
simmelian_sparsifier,bench_noise_filtering,0.1,3.825160091434448e-09,0.07020442285873525,0.00018571842163022962,-0.1534730689795746,0.10020900687459285,0.03333951697036924,1.900082082082082,3.5334394394394395,0.09995795795795796,0.007681681681681682,100.76982053934101,8.797556585394041,0.10023308245168773,0.02625156259301149,3527,449261,310,46402,0.9192077143601772,0.07064030923911956,0.13119815496782353,0.3058063398909799,random_graph1000,True
simmelian_sparsifier,bench_noise_filtering,0.2,3.825160110516301e-09,0.06390806416519967,0.00018571842163022962,-0.16268043047943964,0.10020900687459285,0.03418649154973951,1.900082082082082,3.511023023023023,0.09995795795795796,0.007725725725725725,100.76982053934101,8.749533257411198,0.10023308245168773,0.025523167841950495,3231,448943,628,46698,0.8372635397771443,0.06471189088505679,0.12013832081505169,0.3078095949556263,random_graph1000,True
simmelian_sparsifier,bench_noise_filtering,0.3,3.825160116528669e-09,0.05692733808710001,0.00018571842163022962,-0.16708697477165252,0.10020900687459285,0.03371065058335064,1.900082082082082,3.4925765765765764,0.09995795795795796,0.00775975975975976,100.76982053934101,8.694777487410027,0.10023308245168773,0.024119512602236687,2898,448593,978,47031,0.7476780185758514,0.05804242023673616,0.1077223306384165,0.31002276386438804,random_graph1000,True
simmelian_sparsifier,bench_noise_filtering,0.4,3.825160142867163e-09,0.050693308405390665,0.00018571842163022962,-0.1789666229063011,0.10020900687459285,0.03108489147983396,1.900082082082082,3.394198198198198,0.09995795795795796,0.008052052052052052,100.76982053934101,9.500396700783254,0.10023308245168773,0.020772284715001418,2603,448152,1419,47326,0.6471904525111885,0.052134030323058744,0.09649496765583584,0.3123901208226464,random_graph1000,True
simmelian_sparsifier,bench_noise_filtering,0.5,3.8251601805569014e-09,0.043910633942881416,0.00018571842163022962,-0.22052900397874972,0.10020900687459285,0.0346331142356834,1.900082082082082,3.3034614614614615,0.09995795795795796,0.008272272272272273,100.76982053934101,10.062845324552026,0.10023308245168773,0.02058893943021307,2274,447713,1858,47655,0.5503388189738625,0.04554467343627952,0.08412718965612918,0.31484142854002733,random_graph1000,True
simmelian_sparsifier,bench_net2net_filtering,,3.825160108912472e-09,0.075627390895071,0.00018571842163022962,-0.1262464699019674,0.10020900687459285,0.03518384651147185,1.900082082082082,3.567289289289289,0.09995795795795796,0.00755955955955956,100.76982053934101,8.62813713660742,0.10023308245168773,0.02848276285872304,3776,449571,0,46153,1.0,0.075627390895071,0.1406200539986966,0.3039710486187762,random_graph1000,True
simmelian_sparsifier,bench_structural_noise_filtering,0.1,0.8209771704209072,0.9232999472851872,-0.1262464699019674,-0.13207846092960185,0.03518384651147185,0.0420804650404475,3.567289289289289,3.7153733733733736,0.00755955955955956,0.007049049049049049,8.62813713660742,7.71589533185569,0.02848276285872304,0.036007510769117484,3503,495706,18,273,0.9948878159613747,0.9277012711864406,0.9601205975058243,0.024136747556010578,random_graph1000,True
simmelian_sparsifier,bench_structural_noise_filtering,0.2,0.8614549330061616,0.8924591863176989,-0.1262464699019674,-0.12697291661952545,0.03518384651147185,0.048746630186386704,3.567289289289289,3.7215075075075075,0.00755955955955956,0.007061061061061061,8.62813713660742,7.719037833119789,0.02848276285872304,0.041076173604960145,3444,495641,83,332,0.9764672526226255,0.9120762711864406,0.943174038066548,0.028824136254722896,random_graph1000,True
