filter,benchmark,noise_level,information_retention,jaccard,average_betweenness_original,average_betweenness_filtered,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
random_edge_sparsifier,bench_noise_filtering,0.4,0.0740688430053025,0.3490566037735849,0.0491596638655462,0.0495331465919701,4.333333333333333,3.611111111111111,0.0,0.133068783068783,2.6714285714285717,,4.0,,0.3890058562413764,0.3495901204545517,0.4542328042328032,0.4087301587301555,-0.6972329559272562,-0.0481406609938418,0.1238095238095238,0.1031746031746031,0.0,0.1304347826086956,17.11111111111111,4.626543209876544,15,9,37,524,28,41,0.5692307692307692,0.4743589743589743,0.5174825174825175,0.3309438162646486,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_noise_filtering,0.5,0.0583352474700091,0.3109243697478991,0.0491596638655462,0.0399626517273576,4.333333333333333,4.333333333333333,0.0,0.0878968253968254,2.6714285714285717,,4.0,,0.3890058562413764,0.3941507108994379,0.4542328042328032,0.4517724867724849,-0.6972329559272562,-0.0605757474713793,0.1238095238095238,0.1238095238095238,0.0,0.0695652173913043,17.11111111111111,4.722222222222222,15,10,37,511,41,41,0.4743589743589743,0.4743589743589743,0.4743589743589743,0.360775179521444,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_structural_noise_filtering,0.1,0.0214075024923499,0.4878048780487805,0.0315126050420168,0.022829131652661,2.1666666666666665,1.2222222222222223,0.0,0.0,,,,,0.1958913398406353,0.0889383158120716,0.2342592592592593,0.115275888133031,-0.5647109577221747,-0.3853073463268362,0.0619047619047619,0.0349206349206349,0.0,0.0,5.083333333333334,1.6728395061728394,9,5,20,589,2,19,0.9090909090909092,0.5128205128205128,0.6557377049180327,0.1825741858350553,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_structural_noise_filtering,0.2,0.0673873387418323,0.4,0.0315126050420168,0.0186741363211951,2.1666666666666665,1.3333333333333333,0.0,0.0,,,,,0.1958913398406353,0.0905475791444679,0.2342592592592593,0.1127059712773998,-0.5647109577221747,-0.053787047200878,0.0619047619047619,0.0380952380952381,0.0,0.0,5.083333333333334,1.5000000000000002,9,4,18,585,6,21,0.75,0.4615384615384615,0.5714285714285714,0.2070196678027062,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_structural_noise_filtering,0.3,0.0690319590320106,0.3137254901960784,0.0315126050420168,0.0243230625583566,2.1666666666666665,1.5555555555555556,0.0,0.0,,,,,0.1958913398406353,0.100974824576995,0.2342592592592593,0.1300743260267069,-0.5647109577221747,-0.1771771771771779,0.0619047619047619,0.0444444444444444,0.0,0.0,5.083333333333334,1.6358024691358026,9,4,16,579,12,23,0.5714285714285714,0.4102564102564102,0.4776119402985074,0.2357022603955158,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_structural_noise_filtering,0.4,0.5075551995393778,0.3846153846153846,0.0315126050420168,0.0465919701213818,2.1666666666666665,1.8333333333333333,0.0,0.0198412698412698,,,,,0.1958913398406353,0.1932528206357244,0.2342592592592593,0.2333068783068776,-0.5647109577221747,-0.1838565022421531,0.0619047619047619,0.0523809523809523,0.0,0.0384615384615384,5.083333333333334,2.805555555555556,9,7,20,578,13,19,0.6060606060606061,0.5128205128205128,0.5555555555555556,0.2253744679276044,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_structural_noise_filtering,0.5,0.1458993149546094,0.3928571428571428,0.0315126050420168,0.0646125116713352,2.1666666666666665,2.1666666666666665,0.0,0.0481481481481481,,,,,0.1958913398406353,0.1747144990699575,0.2342592592592593,0.2335520740282636,-0.5647109577221747,-0.0238907849829354,0.0619047619047619,0.0619047619047619,0.0,0.0989010989010989,5.083333333333334,2.527777777777777,9,6,22,574,17,17,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.2323106841457232,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_noise_filtering,0.1,0.432375087211814,0.8488372093023255,0.0491596638655462,0.0455648926237161,4.333333333333333,4.5,0.0,0.1755417422084088,2.6714285714285717,2.549206349206349,4.0,5.0,0.3890058562413764,0.4042934159223895,0.4542328042328032,0.4688359788359784,-0.6972329559272562,-0.5614571847914186,0.1238095238095238,0.1285714285714285,0.0,0.0450281425891182,17.11111111111111,13.86111111111111,15,15,73,544,8,5,0.9012345679012346,0.935897435897436,0.9182389937106918,0.1436486012285557,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_noise_filtering,0.2,0.7027358133292814,0.7291666666666666,0.0491596638655462,0.0430905695611577,4.333333333333333,4.888888888888889,0.0,0.2232164440497773,2.6714285714285717,2.465079365079365,4.0,5.0,0.3890058562413764,0.4164943907996239,0.4542328042328032,0.4813227513227507,-0.6972329559272562,-0.3990752538243939,0.1238095238095238,0.1396825396825396,0.0,0.1234347048300536,17.11111111111111,12.043209876543209,15,14,70,534,18,8,0.7954545454545454,0.8974358974358975,0.8433734939759037,0.203149800073348,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_noise_filtering,0.3,0.3768207364135807,0.6422018348623854,0.0491596638655462,0.0360410830999066,4.333333333333333,5.611111111111111,0.0,0.1914377289377289,2.6714285714285717,2.225396825396825,4.0,4.0,0.3890058562413764,0.4578283260666718,0.4542328042328032,0.5193121693121694,-0.6972329559272562,-0.314217150978234,0.1238095238095238,0.1603174603174603,0.0,0.1428571428571428,17.11111111111111,11.459876543209877,15,15,70,521,31,8,0.693069306930693,0.8974358974358975,0.7821229050279329,0.2488066757640596,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
